Gene.symbol,P.Value,logFC,Cell Line
SHISA9,4.22e-12,-2.58932096,BAS
LEPR,7.72e-13,-2.58692868,BAS
NAV2,9.54e-13,-2.58594112,BAS
NUP210,3.21e-12,-2.57934634,BAS
FAM9B,3.61e-12,-2.57667066,BAS
CXCR4,1.99e-12,-2.56714916,BAS
PRR5L,1.06e-12,-2.55933903,BAS
LPAR1,3.27e-12,-2.55008571,BAS
LPIN2,2.17e-13,-2.54394428,BAS
TBL1X,4.04e-11,-2.52319876,BAS
BGN,1.33e-12,-2.5220655,BAS
DDAH1,7.89e-13,-2.52053605,BAS
CYP4V2,1.14e-12,-2.50545747,BAS
CACNA2D1,3.99e-13,-2.47482822,BAS
GLRX,3.22e-12,-2.47400203,BAS
NCAM1,4.8e-11,-2.47191842,BAS
RGCC,3.83e-12,-2.46774603,BAS
BCL6,3.96e-12,-2.46101709,BAS
CYP4X1,1.96e-11,-2.45566805,BAS
F8,2.19e-10,-2.44252571,BAS
LMO7,6.56e-11,-2.44180479,BAS
PRR16,5.88e-13,-2.44082532,BAS
EDA2R,6.24e-12,-2.43127358,BAS
SMAD6,1.01e-11,-2.42908552,BAS
MAP2,1.46e-11,-2.42419279,BAS
NECTIN3,9.32e-13,-2.41981701,BAS
SEMA3D,7.16e-13,-2.41499675,BAS
MICAL2,3.13e-12,-2.39498432,BAS
COL8A1,3.48e-12,-2.39320511,BAS
RTN1,1.07e-12,-2.39093047,BAS
APOBEC3B,5.49e-12,-2.38612986,BAS
ACSL1,1.52e-12,-2.37553169,BAS
IFI6,2.29e-12,-2.36789936,BAS
STARD13,2.62e-11,-2.36492271,BAS
MAOA,1.35e-12,-2.36369866,BAS
RBMS3,3.47e-12,-2.36042114,BAS
PRKAA2,2.37e-11,-2.35107733,BAS
IGF2,1.55e-09,-2.34916549,BAS
ABCA8,2.41e-12,-2.34114474,BAS
RRM2B,1.98e-12,-2.33546978,BAS
LGALS8,1.88e-11,-2.33110501,BAS
C5,1.39e-12,-2.33013804,BAS
ROS1,1.2e-11,-2.32575937,BAS
GDF15,4.64e-10,-2.31768343,BAS
GBP1,2.6e-11,-2.31098601,BAS
GABARAPL1,4.06e-11,-2.30478904,BAS
ARHGAP24,3.43e-12,-2.30311648,BAS
PDE6A,4.21e-11,-2.30152882,BAS
CCDC68,1.16e-11,-2.28931194,BAS
HHIP,3.31e-12,-2.28812785,BAS
BIRC3,3.39e-10,-2.27248755,BAS
IGFBP4,9.23e-09,-2.26487403,BAS
SORBS2,1.55e-09,-2.25408704,BAS
STC2,2.07e-12,-2.23847224,BAS
CABLES1,2.15e-08,-2.23218487,BAS
ITGBL1,4.9e-11,-2.21929301,BAS
IFIT3,8.78e-11,-2.212556,BAS
FST,5.63e-11,-2.19130624,BAS
SLC14A1,1.25e-11,-2.18718379,BAS
MYEF2,2.68e-11,-2.18329881,BAS
SLC26A2,1.84e-11,-2.17996334,BAS
TMEM255B,3e-11,-2.17869012,BAS
CPT1A,2.41e-10,-2.16326454,BAS
VGLL3,6.53e-10,-2.14637608,BAS
GALNT10,3.46e-10,-2.13597033,BAS
ELOVL7,6.18e-11,-2.1359239,BAS
DKK1,6.78e-12,-2.13369941,BAS
EPB41L4A,7.2e-11,-2.12688751,BAS
TRIM22,2.68e-10,-2.12447006,BAS
CYP4B1,6.59e-10,-2.111274,BAS
GPNMB,1.03e-10,-2.10390678,BAS
ARHGEF28,4.84e-11,-2.10286242,BAS
PADI3,2.18e-11,-2.09837788,BAS
EFEMP1,2.78e-11,-2.08622818,BAS
GFPT2,2.04e-10,-2.08303322,BAS
MAP1B,2.38e-10,-2.08212722,BAS
IFI44L,2.29e-11,-2.07590396,BAS
TP53INP1,1.16e-11,-2.06603508,BAS
IRS2,4.1e-11,-2.06170556,BAS
FAT4,9.23e-11,-2.05669048,BAS
FUCA1,6.61e-11,-2.04534808,BAS
IQGAP2,5.24e-11,-2.03260343,BAS
PRKD1,7.44e-11,-2.03221827,BAS
ARNT2,1.32e-08,-2.02243711,BAS
EFHD1,1.78e-10,-2.02177089,BAS
CUL4B,3.29e-11,-2.0149073,BAS
CD82,4.83e-11,-2.01398059,BAS
TMTC1,3.26e-11,-2.01376911,BAS
DUSP10,1.26e-11,-2.0107652,BAS
SAT1,1.33e-10,-2.00947512,BAS
CDKN2C,6.85e-12,-2.00817062,BAS
TMEM47,2.06e-10,-2.00620593,BAS
LIFR,6.35e-11,-2.00031715,BAS
SMC1B,2.95e-09,-1.98760771,BAS
KITLG,5.21e-10,-1.98753266,BAS
ALOX5AP,1.99e-10,-1.98706277,BAS
SCD5,6.87e-11,-1.9764264,BAS
PALLD,9.01e-11,-1.97574894,BAS
SLC12A7,4.82e-11,-1.97443096,BAS
MYO5C,5.26e-10,-1.96643383,BAS
SYNE2,1.25e-10,-1.96238187,BAS
PAPPA,2.64e-10,-1.9472111,BAS
HSPA4L,9.29e-11,-1.94469403,BAS
CDKN1A,1.41e-10,-1.94210676,BAS
TRIM2,3.5e-10,-1.94011317,BAS
PSMB9,1.19e-10,-1.93830255,BAS
STAC2,1.08e-10,-1.9342598,BAS
LACC1,3.05e-10,-1.93136276,BAS
PLCE1,1.5e-10,-1.9229559,BAS
FAXDC2,3.78e-10,-1.92017439,BAS
ABCC3,4.35e-11,-1.9134302,BAS
TNS3,7.92e-10,-1.91116784,BAS
CDC42EP3,4.27e-10,-1.90880728,BAS
ICAM1,3.95e-11,-1.90166112,BAS
DUSP1,6.72e-10,-1.90162055,BAS
CTSD,1.82e-10,-1.89882685,BAS
ATL3,6.51e-10,-1.88927911,BAS
ST3GAL5,8.35e-09,-1.88084254,BAS
CD99L2,2.12e-10,-1.87789063,BAS
SCCPDH,8.45e-11,-1.86615369,BAS
BDNF,3.65e-10,-1.86570005,BAS
CNIH2,7.13e-11,-1.86526722,BAS
TMEM243,1.36e-10,-1.86433402,BAS
TAGLN,2.45e-10,-1.86203712,BAS
PIK3R1,2.7e-10,-1.86155124,BAS
SIAE,4.01e-10,-1.85308591,BAS
MMP19,8.95e-09,-1.85179297,BAS
FOXN3,2.29e-10,-1.85107909,BAS
ITGA10,3.55e-11,-1.84805851,BAS
ZEB2,9.61e-09,-1.84803285,BAS
PARP14,7.78e-10,-1.8465947,BAS
SNED1,1.96e-09,-1.84538621,BAS
MOXD1,2.13e-10,-1.84507114,BAS
PXDN,3.07e-10,-1.84206841,BAS
KCNMA1,1.3e-09,-1.84048747,BAS
MDM2,1.86e-10,-1.83433425,BAS
PDGFD,8.52e-11,-1.83250409,BAS
SLC1A1,8.41e-08,-1.82142308,BAS
VCAN,6.07e-08,-1.81769024,BAS
PTN,4.37e-10,-1.81228157,BAS
HTR1D,4.94e-10,-1.80932185,BAS
TOB1,6.92e-10,-1.80027054,BAS
CXXC5,9.82e-11,-1.78926626,BAS
LTBP2,3.18e-09,-1.77383105,BAS
HEG1,5.19e-09,-1.76858754,BAS
TAPBPL,3.74e-10,-1.76706913,BAS
ADSS1,5.47e-10,-1.76498281,BAS
CRIM1,1.14e-09,-1.76364765,BAS
PRODH,3.76e-09,-1.76287123,BAS
C1QTNF1,6.98e-10,-1.75983494,BAS
MLXIPL,3.33e-07,-1.75421583,BAS
ALCAM,2.26e-09,-1.7491848,BAS
RORB,8.71e-09,-1.74681153,BAS
DNAJC22,3.34e-07,-1.74364217,BAS
GHR,3.7e-08,-1.73983919,BAS
CPQ,2.57e-09,-1.73339305,BAS
CITED2,2.69e-09,-1.73135507,BAS
BMERB1,2e-10,-1.73115983,BAS
NPNT,3.05e-09,-1.73010158,BAS
AHNAK2,3.07e-10,-1.725092,BAS
PTGER4,9.31e-08,-1.71453677,BAS
FOXA2,9.33e-10,-1.71024065,BAS
DBF4,4.72e-10,-1.70961505,BAS
STOM,1.94e-09,-1.69719978,BAS
SNCA,4.81e-09,-1.69531472,BAS
RUSC2,7.7e-08,-1.69484823,BAS
AR,1.81e-08,-1.69390424,BAS
NLGN4X,2.39e-09,-1.6936947,BAS
CRLF1,1.18e-10,-1.69208428,BAS
FZD1,2.26e-09,-1.68275555,BAS
SERTAD4,1.62e-09,-1.68240817,BAS
RNF144B,2.65e-09,-1.67838758,BAS
FARP1,1.51e-09,-1.67724614,BAS
MARCHF3,2.99e-09,-1.66775728,BAS
PCCA,4.38e-09,-1.66774116,BAS
PKD2,1.38e-08,-1.6665923,BAS
TM7SF3,5.98e-10,-1.6659222,BAS
MXRA5,9.68e-10,-1.66214242,BAS
THY1,3.45e-10,-1.66207256,BAS
CPA4,4.93e-09,-1.65616918,BAS
ZMAT3,1.64e-07,-1.65549209,BAS
ACTBL2,3.29e-09,-1.65033301,BAS
CCDC92,8.12e-09,-1.65023501,BAS
ZNF608,2.1e-09,-1.64689961,BAS
NTN4,8.66e-10,-1.6468002,BAS
MCOLN3,1.4e-07,-1.64168873,BAS
RPS27L,3.63e-10,-1.63981556,BAS
KRT80,6.91e-09,-1.63731348,BAS
METTL7A,4.85e-10,-1.63417285,BAS
IKBKB,2.83e-09,-1.63357905,BAS
CST6,4.32e-10,-1.63332203,BAS
MAP3K7CL,1.43e-09,-1.62338678,BAS
CEP126,1.14e-09,-1.62167497,BAS
EFEMP2,2.19e-08,-1.62054804,BAS
PHLDB1,8.19e-09,-1.61950724,BAS
C1S,6.27e-09,-1.6156386,BAS
PHYH,1.34e-09,-1.61351105,BAS
TRIM35,8.09e-10,-1.61154432,BAS
UBASH3B,2.15e-09,-1.60929699,BAS
PMP22,2.02e-09,-1.60860492,BAS
ZBTB20,1.59e-07,-1.60763112,BAS
HIPK2,2.69e-08,-1.60717291,BAS
RAB30,4.4e-08,-1.60694272,BAS
CYB561A3,1.25e-09,-1.60680001,BAS
MGLL,1.04e-08,-1.60146177,BAS
SERPINB1,5.92e-10,-1.59751992,BAS
DPYD,2.19e-09,-1.59576294,BAS
CSGALNACT2,6.67e-08,-1.59478311,BAS
GSTM4,3.15e-08,-1.5920678,BAS
ERAP2,5.85e-10,-1.59108459,BAS
ZIC2,1.89e-07,-1.58874237,BAS
ABLIM3,8.6e-09,-1.58847568,BAS
ROR1,1.21e-08,-1.58335759,BAS
PDE8B,8e-10,-1.57742928,BAS
RASEF,2.23e-09,-1.57670113,BAS
NMU,8.3e-10,-1.57581525,BAS
LBH,2.61e-09,-1.5735602,BAS
BVES,7.09e-10,-1.56948232,BAS
PIR,3.93e-09,-1.56770305,BAS
CTBP1-DT,7.12e-09,-1.56757837,BAS
MAML2,1.42e-09,-1.56462696,BAS
DMTF1,3.23e-08,-1.56412621,BAS
APOL2,3.37e-09,-1.56283984,BAS
MCUB,7.17e-10,-1.55956884,BAS
NCR3LG1,6.82e-09,-1.55644128,BAS
TACC1,5.17e-09,-1.55385711,BAS
LINC00473,8.89e-09,-1.54815803,BAS
RHOBTB3,2.91e-08,-1.54638366,BAS
TBC1D2,6.54e-10,-1.54563273,BAS
DPYSL2,4.96e-09,-1.54503212,BAS
GRAMD2B,6.44e-09,-1.54039688,BAS
BASP1,5.57e-09,-1.53877685,BAS
GBA,1.98e-08,-1.53713511,BAS
PGF,7.17e-09,-1.5283304,BAS
ADAMTS1,3.75e-05,-1.52811666,BAS
CPE,7.48e-08,-1.52723862,BAS
SLC1A4,1.12e-09,-1.52720713,BAS
NPR3,6.9e-08,-1.52656991,BAS
TM7SF2,9.78e-08,-1.52630966,BAS
TPP1,6.64e-09,-1.52433461,BAS
RIBC2,1.08e-08,-1.52307036,BAS
NR2F1,5.1e-08,-1.52271007,BAS
GLS2,7.42e-09,-1.52223967,BAS
GPC6,4.93e-09,-1.51927852,BAS
ERAP1,6.13e-08,-1.51884261,BAS
ZBED8,4.09e-08,-1.51884134,BAS
PTPRU,9.03e-08,-1.51746342,BAS
AKAP12,8.16e-09,-1.51539477,BAS
HTATIP2,2.47e-09,-1.51229809,BAS
PIK3R3,1.68e-08,-1.51176511,BAS
IL7R,1.33e-08,-1.51112569,BAS
ST3GAL3,2.53e-09,-1.50952625,BAS
ENPP1,1.16e-08,-1.50458276,BAS
SUSD5,1.37e-07,-1.50064047,BAS
SPSB1,1.18e-08,-1.50057894,BAS
PAG1,3.66e-09,-1.50006964,BAS
SEMA5A,8.57e-07,-1.4990069,BAS
PTPRM,5.65e-09,-1.49841179,BAS
GAMT,6.77e-09,-1.49826231,BAS
PLAT,3.4e-09,-1.49753785,BAS
TENT5A,4.57e-08,-1.4902014,BAS
FAM13C,1.63e-08,-1.48878746,BAS
NRIP3,3.11e-08,-1.48848796,BAS
RAB15,2.11e-08,-1.48734991,BAS
PDGFA,1.21e-09,-1.48351874,BAS
RGS7,5.24e-08,-1.48285355,BAS
TMEM156,2.83e-09,-1.4819292,BAS
SMIM14,2.38e-07,-1.48089431,BAS
TPM1,3.59e-09,-1.47962023,BAS
CLK4,1.11e-08,-1.47936068,BAS
SH2B3,3.32e-08,-1.47283887,BAS
TXNRD1,2.52e-09,-1.47269559,BAS
CYGB,1.37e-07,-1.46858529,BAS
KAT2B,1.17e-08,-1.4593853,BAS
ETV1,6.51e-09,-1.4569583,BAS
CCN1,2.62e-08,-1.45261059,BAS
SECTM1,2.97e-08,-1.45197702,BAS
PDE3B,6.63e-07,-1.45068414,BAS
NID2,5.4e-09,-1.44975447,BAS
BMP4,8.41e-08,-1.44626385,BAS
FADS3,6.54e-09,-1.44319908,BAS
CYBRD1,8.43e-09,-1.44062976,BAS
SCARA3,3.37e-09,-1.44042926,BAS
DNMBP,1.19e-07,-1.43530062,BAS
TBC1D8,2.47e-09,-1.43112005,BAS
GPR3,2.18e-08,-1.4295645,BAS
RIN2,7.4e-08,-1.4278783,BAS
C12orf60,4.78e-06,-1.42716348,BAS
TIGAR,1.93e-07,-1.42500873,BAS
RCBTB2,3.74e-08,-1.42173064,BAS
CNTNAP2,3.04e-08,-1.42137665,BAS
HSD17B11,6.39e-08,-1.41923434,BAS
MYLK,3e-08,-1.41887921,BAS
CYP1B1,8.87e-07,-1.41690074,BAS
WIPF1,1.54e-08,-1.41514951,BAS
DMD,5.38e-09,-1.41314742,BAS
SQSTM1,1.02e-08,-1.41227927,BAS
TNS2,1.67e-07,-1.40926894,BAS
NIPAL2,2e-08,-1.40610843,BAS
CCPG1,1.39e-07,-1.40567466,BAS
ITPRIP,4.19e-09,-1.40560474,BAS
PLXNA2,1.14e-07,-1.40437233,BAS
NT5DC3,1.55e-07,-1.40422081,BAS
ABLIM2,9.81e-07,-1.40173914,BAS
ATP6V1D,2.4e-08,-1.39767398,BAS
JADE1,9.43e-09,-1.39764496,BAS
TRIO,7.98e-09,-1.39744372,BAS
GOLGA8O,4.59e-07,-1.39587668,BAS
SGCB,5.33e-09,-1.39479422,BAS
TBX18,1.29e-08,-1.39378619,BAS
CREBRF,9.68e-08,-1.39022593,BAS
CAMK4,6.88e-08,-1.38464657,BAS
SLC36A1,2.23e-07,-1.38175206,BAS
COLCA2,4.37e-07,-1.38095427,BAS
TM4SF1,1.47e-07,-1.38036311,BAS
CHPT1,2.46e-08,-1.37660234,BAS
OGFRL1,1.12e-08,-1.37097602,BAS
ZC3HAV1L,2.99e-08,-1.36937307,BAS
PRRG4,7.87e-09,-1.36883504,BAS
PHTF1,1.58e-07,-1.36555987,BAS
ST3GAL6,2.51e-06,-1.36547193,BAS
PER3,8.97e-08,-1.36527176,BAS
RRAGD,2.6e-08,-1.36501917,BAS
IFNE,5.44e-08,-1.36427158,BAS
TBC1D19,8.31e-07,-1.36425919,BAS
SLC39A8,8.21e-09,-1.36425297,BAS
TRAM2,4.66e-08,-1.36284391,BAS
SLC16A6,8.66e-07,-1.36274405,BAS
CCL2,7.13e-08,-1.36202353,BAS
UBR7,1.44e-07,-1.36112166,BAS
DEPP1,9.13e-09,-1.36064624,BAS
ANTXR1,1.1e-08,-1.35347009,BAS
DOCK10,9.13e-08,-1.35329872,BAS
SRD5A3,1.71e-08,-1.35115115,BAS
PIDD1,2.19e-07,-1.34490267,BAS
HPS5,9.97e-08,-1.34248396,BAS
PAM,5.97e-08,-1.3419495,BAS
LMBRD2,1.62e-08,-1.34162385,BAS
REEP2,1.33e-08,-1.33437898,BAS
RASA3,2.7e-08,-1.32997992,BAS
ALDH3A2,8.5e-08,-1.32854393,BAS
SLC12A4,2.73e-08,-1.32546798,BAS
CPNE8,3.13e-08,-1.3236819,BAS
AHR,5.66e-08,-1.32177433,BAS
COBL,1.92e-05,-1.32098009,BAS
SLC43A1,2.03e-07,-1.32069851,BAS
PSMG3-AS1,1.31e-06,-1.32031771,BAS
DNM3,7.33e-08,-1.31962886,BAS
ITGB8,2.59e-08,-1.31907494,BAS
TCEAL1,1.51e-08,-1.31871067,BAS
METTL27,7.16e-08,-1.3167215,BAS
KCNJ16,2.74e-06,-1.31623673,BAS
EYA4,8.57e-06,-1.31597404,BAS
EPM2A,9.73e-08,-1.31387911,BAS
ADGRE5,2.83e-08,-1.31350446,BAS
LACTB2,4.89e-07,-1.31135525,BAS
OPTN,5.13e-07,-1.31061651,BAS
ANXA8L1,1.32e-07,-1.30868985,BAS
TSC22D3,7.67e-08,-1.3078134,BAS
FAM13B,1.06e-07,-1.30524667,BAS
TP53I3,8.28e-08,-1.30360862,BAS
RGS2,5.41e-07,-1.30252882,BAS
NINJ1,1.17e-07,-1.29975314,BAS
SUSD6,6.67e-08,-1.29746329,BAS
RHBDD2,5.1e-08,-1.29406896,BAS
FILIP1L,4.88e-07,-1.29081268,BAS
STS,2.99e-08,-1.29028638,BAS
CCNJL,1.11e-07,-1.28997968,BAS
TCEAL3,2.18e-08,-1.28481455,BAS
MLPH,5.61e-07,-1.28368684,BAS
SLC30A1,2.33e-07,-1.28349699,BAS
ANOS1,2.79e-07,-1.28309663,BAS
APOL6,1.87e-07,-1.28029257,BAS
PLSCR4,8.33e-08,-1.27998088,BAS
LAMA1,1.58e-07,-1.27727414,BAS
NUDT6,3.41e-07,-1.27520873,BAS
DCLK1,9.41e-08,-1.27279465,BAS
SMIM19,8.4e-08,-1.27197583,BAS
TMEM130,3.57e-07,-1.27144457,BAS
MFGE8,5.25e-08,-1.27045685,BAS
RALGPS1,2.94e-06,-1.26919568,BAS
OCLN,3.06e-08,-1.26819983,BAS
ACYP1,2.97e-07,-1.26648012,BAS
KLF9,6.62e-08,-1.2663714,BAS
HOXA13,4.94e-08,-1.26594313,BAS
COL6A1,1.55e-06,-1.26515466,BAS
PLA2R1,1.48e-07,-1.26421483,BAS
LGALS3BP,4.62e-08,-1.26405933,BAS
PRH1,4.19e-08,-1.26392061,BAS
SEC22B,4.61e-08,-1.26148187,BAS
LAPTM5,1.16e-06,-1.26083716,BAS
MTFR1L,8.63e-08,-1.26057976,BAS
DNAJC15,7.76e-08,-1.25929052,BAS
FADS1,9.07e-08,-1.25886195,BAS
ERO1B,2.86e-07,-1.25812106,BAS
KLF12,2.2e-07,-1.2577989,BAS
RORA,3.89e-07,-1.25716111,BAS
TTC9,1.36e-05,-1.25618112,BAS
GADD45A,3.32e-07,-1.25592826,BAS
GADD45B,1.27e-06,-1.25260126,BAS
SLCO2A1,3.23e-06,-1.25027535,BAS
MPPE1,1.07e-07,-1.24926476,BAS
PDE7B,1.89e-07,-1.24721541,BAS
B3GAT3,4.03e-07,-1.2469366,BAS
CLEC2D,4.92e-06,-1.24453817,BAS
DLG5,6.62e-08,-1.24214788,BAS
ASS1,1.49e-07,-1.24164968,BAS
BLVRA,1.39e-07,-1.24127735,BAS
SYNPO,3.6e-07,-1.24061841,BAS
GUSB,6.82e-08,-1.2389356,BAS
FAM149B1,3.05e-07,-1.23882623,BAS
CDK14,1.54e-07,-1.23799016,BAS
LCAT,9.26e-07,-1.23755721,BAS
SLC7A11,5.79e-07,-1.23686319,BAS
MVP,2.39e-07,-1.23660837,BAS
EFNA5,1.31e-07,-1.23628802,BAS
CEP295NL,1.78e-07,-1.23427255,BAS
PDGFC,3.17e-07,-1.23374093,BAS
KYNU,7.62e-08,-1.23152178,BAS
CBX6,6.36e-08,-1.23100624,BAS
TCN2,2.6e-07,-1.23043705,BAS
DENND5A,1.24e-06,-1.22932708,BAS
AUTS2,2.26e-06,-1.22723192,BAS
GAREM1,8.31e-08,-1.22502281,BAS
CCDC7,3.6e-07,-1.22210004,BAS
TP53INP2,3.83e-07,-1.22188975,BAS
STAMBPL1,3.22e-08,-1.22167921,BAS
GSTM1,7.02e-05,-1.22140081,BAS
IFITM2,1.34e-07,-1.22054128,BAS
SESN3,1.52e-07,-1.22026474,BAS
SEMA6B,3.28e-07,-1.22017703,BAS
GNAI1,1.17e-07,-1.21701481,BAS
TPCN1,5.95e-08,-1.21523762,BAS
ANKMY2,1.05e-07,-1.21504896,BAS
ADAMTS7,1.35e-05,-1.21448437,BAS
COL5A1,3.95e-06,-1.21384792,BAS
TAF7,8.59e-07,-1.212572,BAS
ELMO1,4.67e-07,-1.21142297,BAS
ILDR2,3.89e-06,-1.21136121,BAS
DENND6B,6.91e-08,-1.21056394,BAS
ARMCX2,3.75e-07,-1.21039953,BAS
FERMT2,2.01e-07,-1.20920121,BAS
GBE1,1.38e-07,-1.20835629,BAS
IP6K3,1.08e-07,-1.2074798,BAS
SPRY4,1.16e-05,-1.20744226,BAS
NR4A2,2.25e-07,-1.20669784,BAS
PDE10A,1.62e-06,-1.20665571,BAS
TMEM40,1.12e-06,-1.20015061,BAS
BCL2L1,8.41e-08,-1.20000232,BAS
CMBL,4.51e-07,-1.19905853,BAS
RTKN2,2.07e-05,-1.19804737,BAS
IFITM3,3.14e-07,-1.19797926,BAS
SATB2,7.87e-07,-1.19741407,BAS
GASK1B,5.64e-07,-1.19605562,BAS
CACHD1,3.41e-06,-1.19236997,BAS
ARFGAP3,1.28e-07,-1.19038526,BAS
SKAP2,6.21e-07,-1.18903173,BAS
GLRB,5.69e-07,-1.18836265,BAS
ATP1B1,6.51e-07,-1.18689751,BAS
HEBP1,1.12e-07,-1.18582311,BAS
MTUS1,1.56e-07,-1.18386586,BAS
OSBPL1A,2.81e-07,-1.18326931,BAS
RPGR,2e-07,-1.1821011,BAS
EFCAB7,2.93e-06,-1.18034118,BAS
AOX1,1.19e-06,-1.17874941,BAS
MAN2A2,4.19e-07,-1.17843709,BAS
RAB27B,2.27e-07,-1.17841175,BAS
GPR135,2.23e-06,-1.1780844,BAS
DMC1,2.93e-05,-1.17742337,BAS
SLC25A30,5.16e-08,-1.17691726,BAS
ATPSCKMT,9.52e-06,-1.17534102,BAS
H6PD,2.18e-06,-1.17388281,BAS
TXNIP,1.22e-07,-1.17345147,BAS
ANGPTL2,1.95e-07,-1.17289601,BAS
CABYR,2.33e-07,-1.17287975,BAS
PPFIBP1,2.05e-07,-1.17198732,BAS
